Year,EventName,RoundNumber,Driver,Team,LapNumber,Stint,Compound,TyreLife,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedST,Time,DriverNumber,PitOutTime,PitInTime,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedFL,IsPersonalBest,FreshTyre,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2021,Bahrain Grand Prix,1,HAM,Mercedes,52.0,3.0,HARD,24.0,0 days 00:01:34.939000,0 days 00:00:30.625000,0 days 00:00:40.960000,0 days 00:00:23.354000,237.0,258.0,293.0,0 days 02:02:53.454000,44,,,0 days 02:01:49.142000,0 days 02:02:30.102000,0 days 02:02:53.456000,281.0,False,True,0 days 02:01:18.515000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,53.0,3.0,HARD,25.0,0 days 00:01:36.155000,0 days 00:00:30.810000,0 days 00:00:41.885000,0 days 00:00:23.460000,,255.0,303.0,0 days 02:04:29.609000,44,,,0 days 02:03:24.266000,0 days 02:04:06.151000,0 days 02:04:29.611000,281.0,False,True,0 days 02:02:53.454000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,54.0,3.0,HARD,26.0,0 days 00:01:34.814000,0 days 00:00:30.734000,0 days 00:00:40.788000,0 days 00:00:23.292000,233.0,258.0,286.0,0 days 02:06:04.423000,44,,,0 days 02:05:00.345000,0 days 02:05:41.133000,0 days 02:06:04.425000,280.0,False,True,0 days 02:04:29.609000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,55.0,3.0,HARD,27.0,0 days 00:01:34.706000,0 days 00:00:30.605000,0 days 00:00:40.960000,0 days 00:00:23.141000,235.0,258.0,288.0,0 days 02:07:39.129000,44,,,0 days 02:06:35.030000,0 days 02:07:15.990000,0 days 02:07:39.131000,280.0,False,True,0 days 02:06:04.423000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,HAM,Mercedes,56.0,3.0,HARD,28.0,0 days 00:01:34.918000,0 days 00:00:30.431000,0 days 00:00:40.946000,0 days 00:00:23.541000,239.0,267.0,291.0,0 days 02:09:14.047000,44,,,0 days 02:08:09.562000,0 days 02:08:50.508000,0 days 02:09:14.049000,279.0,False,True,0 days 02:07:39.129000,,1,1.0,,,False,True
2021,Bahrain Grand Prix,1,VER,Red Bull Racing,1.0,1.0,MEDIUM,4.0,0 days 00:01:58.245000,,0 days 00:00:53.703000,0 days 00:00:32.579000,233.0,90.0,250.0,0 days 00:39:08.393000,33,,,,0 days 00:38:35.926000,0 days 00:39:08.517000,222.0,False,False,0 days 00:37:09.970000,,124,1.0,,,False,False
2021,Bahrain Grand Prix,1,VER,Red Bull Racing,2.0,1.0,MEDIUM,5.0,0 days 00:02:22.406000,0 days 00:00:45.874000,0 days 00:01:01.922000,0 days 00:00:34.610000,186.0,198.0,238.0,0 days 00:41:30.799000,33,,,0 days 00:39:54.293000,0 days 00:40:56.215000,0 days 00:41:30.825000,222.0,True,False,0 days 00:39:08.393000,,4,1.0,,,False,False
2021,Bahrain Grand Prix,1,VER,Red Bull Racing,3.0,1.0,MEDIUM,6.0,,0 days 00:00:44.111000,0 days 00:01:02.264000,0 days 00:00:51.626000,142.0,109.0,138.0,0 days 00:44:08.778000,33,,,0 days 00:42:14.914000,0 days 00:43:17.191000,0 days 00:44:08.899000,168.0,False,False,0 days 00:41:30.799000,,41,1.0,,,False,False
2021,Bahrain Grand Prix,1,VER,Red Bull Racing,4.0,1.0,MEDIUM,7.0,0 days 00:01:44.343000,0 days 00:00:32.129000,0 days 00:00:41.273000,0 days 00:00:30.941000,234.0,254.0,280.0,0 days 00:45:53.121000,33,,,0 days 00:44:40.933000,0 days 00:45:22.206000,0 days 00:45:53.147000,211.0,True,False,0 days 00:44:08.778000,,126,1.0,,,False,False
2021,Bahrain Grand Prix,1,VER,Red Bull Racing,5.0,1.0,MEDIUM,8.0,0 days 00:01:44.629000,0 days 00:00:39.328000,0 days 00:00:41.460000,0 days 00:00:23.841000,198.0,257.0,210.0,0 days 00:47:37.750000,33,,,0 days 00:46:32.475000,0 days 00:47:13.935000,0 days 00:47:37.776000,272.0,False,False,0 days 00:45:53.121000,,671,1.0,,,False,False
